City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hobart,-42.8794,147.3294,10.7,69,75,7.72,AU,1678225033
1,karratha,-20.7377,116.8463,29.26,74,94,4.51,AU,1678225034
2,puerto escondido,15.85,-97.0667,29.0,63,100,3.56,MX,1678224862
3,rikitea,-23.1203,-134.9692,24.97,84,100,11.51,PF,1678225034
4,vallenar,-28.5708,-70.7581,25.26,50,4,3.35,CL,1678225035
5,sitka,57.0531,-135.33,4.94,36,20,0.0,US,1678225035
6,saint-philippe,-21.3585,55.7679,24.77,88,82,5.16,RE,1678225035
7,bredasdorp,-34.5322,20.0403,18.01,87,96,0.82,ZA,1678224884
8,aykhal,66.0,111.5,-22.1,99,100,3.04,RU,1678225036
9,carnarvon,-24.8667,113.6333,25.4,76,0,6.2,AU,1678225036
10,tumut,-35.3,148.2167,15.09,55,31,3.26,AU,1678225037
11,nikolskoye,59.7035,30.7861,-8.06,97,83,2.29,RU,1678224754
12,busselton,-33.65,115.3333,14.24,68,95,6.23,AU,1678225037
13,barrow,71.2906,-156.7887,-5.99,93,75,2.57,US,1678225037
14,orocue,4.7912,-71.3354,34.31,33,96,2.15,CO,1678225038
15,faya,18.3851,42.4509,16.06,59,80,1.36,SA,1678225038
16,mahibadhoo,3.7833,72.9667,27.45,77,6,6.43,MV,1678224865
17,punta arenas,-53.15,-70.9167,13.06,54,75,12.86,CL,1678225001
18,iracoubo,5.4802,-53.2011,25.12,83,100,4.67,GF,1678225039
19,saint-joseph,-21.3667,55.6167,24.21,85,77,5.12,RE,1678225039
20,victoria,22.2855,114.1577,19.62,88,1,2.68,HK,1678225032
21,qaanaaq,77.484,-69.3632,-13.51,92,62,2.2,GL,1678224895
22,tuktoyaktuk,69.4541,-133.0374,-26.0,76,20,7.2,CA,1678224863
23,chunskiy,56.0815,99.6342,-5.55,92,97,3.43,RU,1678225040
24,atasu,48.6814,71.6433,0.03,91,100,5.28,KZ,1678225040
25,port elizabeth,-33.918,25.5701,21.84,93,20,6.69,ZA,1678225041
26,cochrane,51.1834,-114.4687,-8.82,68,0,4.63,CA,1678225041
27,pevek,69.7008,170.3133,-33.4,95,10,0.57,RU,1678225041
28,quatre cocos,-20.2078,57.7625,25.06,83,84,5.97,MU,1678225010
29,riyadh,24.6877,46.7219,24.08,16,87,5.81,SA,1678224900
30,beoumi,7.6736,-5.5764,28.62,63,54,3.28,CI,1678225042
31,porbandar,21.6422,69.6093,23.77,59,0,3.5,IN,1678225042
32,gat,31.61,34.7642,14.67,77,98,2.26,IL,1678225042
33,yellowknife,62.456,-114.3525,-15.71,66,75,4.12,CA,1678224766
34,atuona,-9.8,-139.0333,26.45,76,52,3.84,PF,1678225043
35,prince rupert,54.3161,-130.3201,-0.95,55,100,8.23,CA,1678225043
36,norman wells,65.282,-126.8329,-18.98,65,0,5.14,CA,1678225044
37,pakxan,18.3778,103.6601,19.91,69,0,1.38,LA,1678225044
38,sao lourenco do oeste,-26.3592,-52.8511,21.03,72,10,1.76,BR,1678225044
39,butaritari,3.0707,172.7902,27.6,73,57,6.66,KI,1678225045
40,dikson,73.5069,80.5464,-37.88,99,44,2.8,RU,1678225045
41,patnagarh,20.7167,83.15,22.71,34,78,1.87,IN,1678225046
42,haines junction,60.7522,-137.5108,-2.03,46,100,3.6,CA,1678224837
43,susanville,40.4163,-120.653,2.17,66,75,6.17,US,1678225033
44,gidam,18.9833,81.4,19.21,44,31,1.08,IN,1678225046
45,hithadhoo,-0.6,73.0833,28.04,74,20,5.41,MV,1678225046
46,yumen,40.2833,97.2,6.26,33,85,5.92,CN,1678225047
47,bluff,-46.6,168.3333,17.05,81,10,1.98,NZ,1678224820
48,bengkulu,-3.8004,102.2655,23.52,87,23,1.72,ID,1678225047
49,albany,42.6001,-73.9662,-0.04,57,95,1.79,US,1678224855
50,bonavista,48.6499,-53.1147,1.13,95,100,8.47,CA,1678225048
51,saskylakh,71.9167,114.0833,-24.7,95,100,3.09,RU,1678224781
52,lebu,-37.6167,-73.65,17.2,84,99,5.54,CL,1678224751
53,longyearbyen,78.2186,15.6401,-13.09,61,75,5.14,SJ,1678225048
54,palmer,42.1584,-72.3287,2.78,52,75,8.75,US,1678225049
55,torbay,47.6666,-52.7314,1.99,95,100,9.26,CA,1678224961
56,esperance,-33.8667,121.9,17.37,68,100,1.9,AU,1678225049
57,cefalu,38.0386,14.0229,12.52,74,51,0.45,IT,1678225049
58,kuito,-12.3833,16.9333,16.44,93,100,1.87,AO,1678225050
59,ribeira grande,38.5167,-28.7,16.22,77,40,13.89,PT,1678225050
60,vostok,46.4856,135.8833,-4.59,97,100,2.13,RU,1678225051
61,port alfred,-33.5906,26.891,21.21,94,100,1.79,ZA,1678225051
62,arraial do cabo,-22.9661,-42.0278,25.98,78,40,8.75,BR,1678224845
